air_temp,brake_mean,compound,driver,drs_activations,fresh_tyre,gp_name,humidity,is_pit_lap,lap_number,lap_time,position,pressure,race_id,rpm_max,rpm_mean,season,sector_1_time,sector_2_time,sector_3_time,session_name,session_type,speed_max,speed_mean,stint,team,throttle_mean,track_status,track_temp,tyre_life,wind_dir,wind_speed
26.5,0.181159420289855,SOFT,GAS,0,,,,,37.0,98.533,,,2019_BHR,,10231.98309178744,2019,31.018,43.548,23.967,,,,196.4613526570048,2.0,Red Bull Racing,64.47826086956522,,28.3,28.0,17.0,2.8
26.5,0.1837708830548926,SOFT,GAS,0,,,,,38.0,99.175,,,2019_BHR,,10215.883054892602,2019,31.116,43.837,24.222,,,,194.76610978520287,2.0,Red Bull Racing,62.74224343675418,,28.1,29.0,28.0,2.3
26.4,0.2093023255813953,SOFT,GAS,0,,,,,39.0,101.894,,,2019_BHR,,10069.711627906976,2019,31.25,43.722,26.922,,,,189.3674418604651,2.0,Red Bull Racing,62.5093023255814,,28.1,30.0,52.0,2.8
26.4,0.2068965517241379,MEDIUM,GAS,0,,,,,40.0,117.32,,,2019_BHR,,9766.896551724138,2019,51.601,42.181,23.538,,,,165.19675456389453,3.0,Red Bull Racing,65.04868154158216,,28.0,1.0,45.0,2.4
26.4,0.1861042183622828,MEDIUM,GAS,0,,,,,41.0,95.444,,,2019_BHR,,10376.995037220844,2019,30.304,41.828,23.312,,,,202.7617866004963,3.0,Red Bull Racing,66.3970223325062,,28.0,2.0,23.0,3.3
26.3,0.1836228287841191,MEDIUM,GAS,0,,,,,42.0,95.291,,,2019_BHR,,10386.25558312655,2019,30.045,41.806,23.44,,,,202.7394540942928,3.0,Red Bull Racing,67.04218362282879,,28.0,3.0,53.0,2.7
26.3,0.1960297766749379,MEDIUM,GAS,58,,,,,43.0,95.78,,,2019_BHR,,10383.727047146402,2019,30.155,41.886,23.739,,,,201.60794044665013,3.0,Red Bull Racing,66.05955334987593,,28.0,4.0,47.0,2.8
26.3,0.1950617283950617,MEDIUM,GAS,28,,,,,44.0,95.949,,,2019_BHR,,10354.85925925926,2019,30.174,42.284,23.491,,,,202.05185185185184,3.0,Red Bull Racing,66.00246913580247,,27.8,5.0,62.0,2.6
26.3,0.1840796019900497,MEDIUM,GAS,0,,,,,45.0,95.524,,,2019_BHR,,10331.328358208955,2019,30.24,41.771,23.513,,,,202.24378109452732,3.0,Red Bull Racing,66.79601990049751,,27.8,6.0,59.0,2.5
26.2,0.1795511221945137,MEDIUM,GAS,0,,,,,46.0,95.39,,,2019_BHR,,10370.56608478803,2019,30.273,41.752,23.365,,,,202.7406483790524,3.0,Red Bull Racing,67.02992518703242,,27.7,7.0,63.0,2.8
26.2,0.1786600496277915,MEDIUM,GAS,0,,,,,47.0,95.671,,,2019_BHR,,10314.995037220844,2019,30.175,41.944,23.552,,,,201.88833746898263,3.0,Red Bull Racing,66.49875930521092,,27.7,8.0,39.0,2.6
26.2,0.1921182266009852,MEDIUM,GAS,0,,,,,48.0,96.211,,,2019_BHR,,10272.312807881774,2019,30.428,42.09,23.693,,,,200.6330049261084,3.0,Red Bull Racing,66.44581280788178,,27.6,9.0,33.0,3.3
26.1,0.1798029556650246,MEDIUM,GAS,0,,,,,49.0,96.248,,,2019_BHR,,10340.857142857143,2019,30.589,42.097,23.562,,,,200.80295566502463,3.0,Red Bull Racing,66.42118226600985,,27.5,10.0,58.0,2.9
26.1,0.1905940594059406,MEDIUM,GAS,0,,,,,50.0,96.062,,,2019_BHR,,10368.034653465347,2019,30.384,41.99,23.688,,,,201.1262376237624,3.0,Red Bull Racing,66.38118811881188,,27.5,11.0,60.0,2.9
